Checked,Ion,Charge,Molecular Weight,m/z,RT [min],FWHM [min],# MI,Area,Parent Area [%],Study File ID
FALSE,[M-H]-1,-1,773.59468,772.5874,10.27,0.11,4,4796238.785,100.0,F1
FALSE,[M-H]-1,-1,764.54078,763.53351,7.859,0.141,3,4785174.25,100.0,F1
FALSE,[M-H]-1,-1,795.57997,794.57269,10.425,0.079,2,2453072.505,51.673,F1
FALSE,[M-H]-1,-1,764.54091,763.53363,8.939,0.088,2,4720175.924,100.0,F1
FALSE,[M-H]-1,-1,671.61842,670.61115,13.397,0.075,2,12592.4874,100.0,F1
FALSE,[M-H]-1,-1,1533.08235,1532.07507,9.532,0.059,4,4635565.116,100.0,F1
FALSE,[M-H]-1,-1,817.62141,816.61414,9.499,0.128,2,203484.5837,100.0,F1
FALSE,[M-H]-1,-1,790.62269,789.61542,9.248,0.076,2,4534787.761,100.0,F1
FALSE,[M-H]-1,-1,870.68306,869.67578,10.254,0.111,3,4480544.639,100.0,F1
FALSE,[M-H]-1,-1,855.63667,854.62939,9.883,0.085,4,4476622.911,100.0,F1
FALSE,[M-H]-1,-1,696.32075,695.31348,4.479,0.075,5,4465140.81,100.0,F1
FALSE,[M-H]-1,-1,895.63118,894.6239,9.315,0.091,4,4393828.198,100.0,F1
FALSE,[M-H]-1,-1,737.52217,736.51489,7.697,0.058,4,4390171.594,100.0,F1
FALSE,[M-H]-1,-1,863.56178,862.5545,7.664,0.136,5,4319249.292,100.0,F1
FALSE,[M-H]-1,-1,827.68678,826.6795,12.24,0.081,5,2935527.389,69.074,F1
FALSE,[M-H]-1,-1,872.70033,871.69305,11.332,0.121,2,4227837.972,100.0,F1
FALSE,[M-H]-1,-1,1398.95686,1397.94958,13.757,0.12,6,4221772.822,100.0,F1
FALSE,[M-H]-1,-1,1523.11311,1522.10583,8.593,0.235,2,4191060.933,100.0,F1
FALSE,[M-H]-1,-1,807.63801,806.63074,10.833,0.093,6,4189099.724,100.0,F1
FALSE,[M-H]-1,-1,1133.7812,1132.77393,10.759,0.082,5,1477535.089,35.493,F1
FALSE,[M-H]-1,-1,304.24055,303.23328,3.44,0.103,4,4161156.419,100.0,F1
FALSE,[M-H]-1,-1,871.63179,870.62451,10.016,0.083,3,4160642.485,100.0,F1
FALSE,[M-H]-1,-1,813.55379,812.54651,7.795,0.072,4,4121132.164,100.0,F1
FALSE,[M-H]-1,-1,1450.98518,1449.97791,15.023,0.125,4,4079273.86,100.0,F1
FALSE,[M-H]-1,-1,657.58418,656.5769,12.46,0.085,5,4074645.16,100.0,F1
FALSE,[M-H]-1,-1,1050.57149,1049.56421,1.12,0.045,4,1901846.768,100.0,F1
FALSE,[M-H]-1,-1,807.59053,806.58325,9.584,0.109,4,4043961.35,100.0,F1
FALSE,[M-H]-1,-1,477.28554,476.27826,1.198,0.092,2,1960916.753,48.787,F1
FALSE,[M-H]-1,-1,1026.57161,1025.56433,1.159,0.045,3,3993512.769,100.0,F1
FALSE,[M-H]-1,-1,1424.9731,1423.96582,13.87,0.128,6,3962451.191,100.0,F1
FALSE,[M-H]-1,-1,805.60066,804.59338,10.823,0.093,2,1735843.389,44.116,F1
FALSE,[M-H]-1,-1,842.51143,841.50415,6.759,0.035,4,3546058.295,90.977,F1
FALSE,[M-H]-1,-1,912.57387,911.56659,8.038,0.08,3,3635322.946,93.39,F1
FALSE,[M-H]-1,-1,1448.96992,1447.96265,14.409,0.139,3,3786902.182,100.0,F1
FALSE,[M-H]-1,-1,872.54219,871.53491,7.703,0.05,4,3354863.789,89.538,F1
